Title,Price
2018 Hyundai Santa Fe Sport 2.4L - Closeout Sale!,"$23,949"
2019 Honda Odyssey LX -SALE PRICED!!,"$29,876"
2018 Honda CR-V EX - Finance Low,"$26,998"
2008 Toyota Avalon XLS (low miles),"$8,700"
Mercedes-Benz CLK 350 47k miles,"$9,500"
diecast cars from Japan,$4
2017 Nissan Armada platinum,"$26,000"
2003 Subaru Legacy,"$3,100"
2012 CHRYSLER TOWN & COUNTRY TOURING,"$6,900"
2012 Honda Civic,"$6,499"
2017 NISSAN ALTIMA LOW MILES,"$11,800"
2017 Nissan Sentra SV 1 OWNER,"$8,400"
2020 Honda HRV Sport new car only 130 miles HR-V,"$17,800"
2012 Scion xB,"$7,600"
2005 Chevrolet Avalanche. Condition is immaculate,"$6,900"
2004 Toyota Tacoma PreRunner V6. Low mileage. Great condition.,"$12,600"
2008 Mercedes C350(AMG Package) only 80K miles,"$8,850"
2011 LEXUS ES350 -KEYLESS BLUETOOTH CAMERA**** Guar. Approval*********,"$13,900"
2010 LEXUS RX350- KEYLESS BLUETOOTH CAMERA MOON ROOF*** Guar. Approval,"$15,900"
2007 BMW 328I - 42K MILES LEATHER MOON ROOF**** Guar. Approval********,$0
2010 NISSAN ALTIMA 2.5S -91K MILES KEYLESS AUX**** Guar. Approval*****,$0
2013 BMW X3  XDRIVE28I - AWD KEYLESS NAVI CAMERA**** Guar. Approval***,"$14,900"
2008 ACURA RDX TURBO-AWD 41K MILES CAMERA**** Guar. Approval**********,"$13,900"
2013 TOYOTA 4RUNNER SR5 4X2- LIFTED CAMERA BLIUETOOTH**** Guar. Approv,"$21,900"
2011 BMW 535I -TWIN TURBO KEYLESS CAMERA**** Guar. Approval**********,"$14,900"
2012 PORSCHE PANAMERA S - 7K MILES BLUETOOTH NAVI BACK UP CAMERA *****,"$36,900"
2008 Ford Taurus SEL 3.5 V6,"$4,800"
2013 Subaru Impreza: Sport limited AWD,"$7,500"
2019 Tesla Model 3 Standard Range Plus,"$41,000"
2012 Toyota Prius V,"$8,500"
2006 SATURN VUE,"$2,750"
2010 Mazda3 s grand touring,"$4,500"
2013 Nisan leaf With New battery.,"$6,200"
2008 Mazda CX-9 touring -3 row seats,"$4,999"
2016 Mercedes Benz GLC 300 23000 miles,"$27,000"
2008 Toyota Prius- Only 48K miles,"$7,200"
2008 Honda Fit Sport Hatchback,"$4,500"
2013 VW Jetta,"$7,300"
1968 Mustang Convertable,"$10,000"
2010 Toyota Camry LE 4cly 31mpg fully loaded garage kept very nice,"$6,700"
2016 Toyota Corolla LE (Clean Title),"$10,800"
1998 Saturn SL SL2 Auto,"$1,695"
2006 Toyota Highlander 4dr V6 w/3rd Row,"$4,995"
2005 Mazda Tribute 2.3L Auto i,"$2,795"
1998 Nissan Pathfinder 4dr XE Manual,"$1,795"
2013 Honda Civic LX,"$6,600"
2010 Chevy Traverse LS 3rd row seats,"$4,900"
2002 Ford Ranger 4x4 (Edge),"$5,200"
2006 Toyota 4Runner Sport edition,"$9,700"
2005 HONDA ACCORD,"$1,950"
*MUSCLE CAR with HEMI*2017 DODGE CHALLENGER R/T,"$31,995"
2004 Lexus RX330,"$6,200"
2005 Nissan Altima 2.5s 4cyl,"$4,500"
2009 Pontiac Vibe,"$1,600"
2005 Chevy Trailblazer LS,"$4,000"
2008 Chevy Trail Blazer SS,"$12,500"
2016 Kia Optima LX LX 4dr Sedan - CALL/TEXT No Credit Check,"$13,299"
2006 Nissan Pathfinder,"$2,000"
2008 FORD F350 SUPER DUTY TURBO DSL,"$12,900"
2004 Chevy Tahoe LS 4 Wheel Drive Excellent Condition,"$8,500"
2012 Suzuki Equator RMZ-4,"$12,500"
2015 Ford F-150 FX4 V6 3.5L 4X4 4dr extra cab auto excellent shape,"$14,500"
2016 Kia Sorento  FWD 4dr 2.4L LX SUV,$256
2019 Nissan Altima  2.5 S Sedan Sedan,$245
2003 Volvo V70 2.4 wagon. Ice cold ac. Up to date . 79k miles,"$3,200"
"2002 Volkswagen Eurovan MV *One Owner, 127k Miles, 6 Cylinders","$11,995"
2007 Toyota Tacoma Double Cab Prerunner *Long Bed*,"$12,995"
2014 Toyota Sienna LE - 51kmi One Owner *Easy Financing Available*,"$16,995"
2005 Toyota Sienna LE - 3mo Warranty Included *BACK TO SCHOOL SALE*,"$5,995"
2010 Toyota Prius -Back to School Special!GET TOP $ FOR YOUR TRADE IN,"$5,995"
